model,quantization,prompt_size,prompt_tokens,output_tokens,execution_time_s,energy_j,energy_j_per_output_token,cpu_usage_pct,gpu_usage_pct,gpu_power_w,gpu_energy_j,memory_mb,max_memory_mb,gpu_memory_mb,run,run_directory
Qwen3-8B-Q4_K_M,Q4_K_M,small,,,49.922,742.9880323848724,,29.351686421296048,,,,13412.447728413654,13505.359375,,1,/Users/qusaisak/Documents/VU/greenlabproject/results/raw/Qwen3-8B-Q4_K_M/Q4_K_M/small/run_01
Qwen3-8B-Q4_K_M,Q4_K_M,small,,,51.746,745.1450235671997,,30.00584328266036,,,,13683.522677529183,13866.21875,,2,/Users/qusaisak/Documents/VU/greenlabproject/results/raw/Qwen3-8B-Q4_K_M/Q4_K_M/small/run_02
Qwen3-8B-Q4_K_M,Q4_K_M,small,,,50.272,731.6461073112488,,29.928080381231684,,,,13693.71376992032,13897.796875,,3,/Users/qusaisak/Documents/VU/greenlabproject/results/raw/Qwen3-8B-Q4_K_M/Q4_K_M/small/run_03
Qwen3-8B-Q4_K_M,Q4_K_M,small,,,50.142,734.9508287353515,,29.79821714009179,,,,13723.4394375,13898.640625,,4,/Users/qusaisak/Documents/VU/greenlabproject/results/raw/Qwen3-8B-Q4_K_M/Q4_K_M/small/run_04
Qwen3-8B-Q4_K_M,Q4_K_M,small,,,50.704,731.7817740402222,,29.525148114919343,,,,13711.896553853754,13901.765625,,5,/Users/qusaisak/Documents/VU/greenlabproject/results/raw/Qwen3-8B-Q4_K_M/Q4_K_M/small/run_05
Qwen3-8B-Q4_K_M,Q4_K_M,small,,,51.333,738.8763085823059,,29.994138641862406,,,,13743.204895019531,13976.484375,,6,/Users/qusaisak/Documents/VU/greenlabproject/results/raw/Qwen3-8B-Q4_K_M/Q4_K_M/small/run_06
Qwen3-8B-Q4_K_M,Q4_K_M,small,,,51.335,733.6607174987794,,29.654121183284694,,,,13748.90380859375,13931.703125,,7,/Users/qusaisak/Documents/VU/greenlabproject/results/raw/Qwen3-8B-Q4_K_M/Q4_K_M/small/run_07
Qwen3-8B-Q4_K_M,Q4_K_M,small,,,51.498,735.5870576152802,,29.692423952043292,,,,13747.615393968872,13940.125,,8,/Users/qusaisak/Documents/VU/greenlabproject/results/raw/Qwen3-8B-Q4_K_M/Q4_K_M/small/run_08
Qwen3-8B-Q4_K_M,Q4_K_M,small,,,51.314,732.0490855178833,,29.53909513279796,,,,13747.003479003906,13935.5625,,9,/Users/qusaisak/Documents/VU/greenlabproject/results/raw/Qwen3-8B-Q4_K_M/Q4_K_M/small/run_09
Qwen3-8B-Q4_K_M,Q4_K_M,small,,,51.69,742.4149566192627,,29.60053377468968,,,,13740.178623540856,13933.0625,,10,/Users/qusaisak/Documents/VU/greenlabproject/results/raw/Qwen3-8B-Q4_K_M/Q4_K_M/small/run_10
Qwen3-8B-Q4_K_M,Q4_K_M,medium,,,52.589,756.0643786029816,,37.738459487910106,,,,13739.093023255815,13825.59375,,1,/Users/qusaisak/Documents/VU/greenlabproject/results/raw/Qwen3-8B-Q4_K_M/Q4_K_M/medium/run_01
Qwen3-8B-Q4_K_M,Q4_K_M,medium,,,53.155,754.2388351421357,,36.78267433518499,,,,13941.970905172413,14132.34375,,2,/Users/qusaisak/Documents/VU/greenlabproject/results/raw/Qwen3-8B-Q4_K_M/Q4_K_M/medium/run_02
Qwen3-8B-Q4_K_M,Q4_K_M,medium,,,53.842,766.7899500541687,,33.42038715180725,,,,14001.507102272728,14185.8125,,3,/Users/qusaisak/Documents/VU/greenlabproject/results/raw/Qwen3-8B-Q4_K_M/Q4_K_M/medium/run_03
Qwen3-8B-Q4_K_M,Q4_K_M,medium,,,62.157,1009.2412243824002,,32.86066163878227,,,,14126.439144736842,14440.71875,,4,/Users/qusaisak/Documents/VU/greenlabproject/results/raw/Qwen3-8B-Q4_K_M/Q4_K_M/medium/run_04
Qwen3-8B-Q4_K_M,Q4_K_M,medium,,,32.516,854.1468026275636,,29.987291339736533,,,,14226.763792438273,14367.09375,,5,/Users/qusaisak/Documents/VU/greenlabproject/results/raw/Qwen3-8B-Q4_K_M/Q4_K_M/medium/run_05
Qwen3-8B-Q4_K_M,Q4_K_M,medium,,,53.623,805.599269065857,,28.19501541794909,,,,14183.076018258427,14378.5625,,6,/Users/qusaisak/Documents/VU/greenlabproject/results/raw/Qwen3-8B-Q4_K_M/Q4_K_M/medium/run_06
