Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1790356917570,4,4,4,4,4,4,4,4,4,4,76.84043884277344,75.31250762939453,75.09014892578125,75.38841247558594,68.40541076660156,76.92301177978516,78.078125,50,0,50,0,0,0,100,50,100,50,13.89295768737793,25769803776,2147483648,14550663168,534773760
204,1790356917570,4,4,4,4,4,4,4,4,4,4,76.84043884277344,75.31250762939453,75.09014892578125,75.38841247558594,68.40541076660156,76.92301177978516,78.078125,NaN,100,0,0,0,0,0,NaN,0,NaN,13.89295768737793,25769803776,2147483648,14550663168,534773760
204,1790356917775,4,4,4,4,4,4,4,4,4,4,76.84043884277344,75.31250762939453,75.09014892578125,75.38841247558594,68.40541076660156,76.92301177978516,78.078125,16.666667938232422,5.263157844543457,4.761904716491699,0,0,0,94.44444274902344,89.47368621826172,89.47368621826172,89.47368621826172,13.89295768737793,25769803776,2147483648,14550663168,534773760
204,1790356917980,4,4,4,4,4,4,4,4,4,4,76.84043884277344,75.31250762939453,75.09014892578125,75.38841247558594,68.40541076660156,76.92301177978516,78.078125,5.882352828979492,5,0,0,0,0,90,89.47368621826172,88.8888931274414,84.21052551269531,13.15570068359375,25769803776,2147483648,14550663168,534773760
204,1790356918185,4,4,4,4,4,4,4,4,4,4,76.84043884277344,75.31250762939453,75.09014892578125,75.38841247558594,68.40541076660156,76.92301177978516,78.078125,5.882352828979492,0,0,0,0,0,94.73684692382813,84.21052551269531,85,89.47368621826172,13.15570068359375,25769803776,2147483648,14550663168,534773760
204,1790356918390,4,4,4,4,4,4,4,4,4,4,77.6314926147461,77.43575286865234,77.09398651123047,76.86180114746094,70.96289825439453,78.47911834716797,82.09375,5.882352828979492,5,0,0,0,0,95.23809814453125,88.23529815673828,94.44444274902344,83.33332824707031,13.15570068359375,25769803776,2147483648,14550663168,534773760
202,1790356918595,4,4,4,4,4,4,4,4,4,4,77.6314926147461,77.43575286865234,77.09398651123047,76.86180114746094,70.96289825439453,78.47911834716797,82.09375,11.111111640930176,0,0,0,4.761904716491699,0,94.44444274902344,85,90.47618865966797,78.94737243652344,13.15570068359375,25769803776,2147483648,14678310912,534773760
203,1790356918797,4,4,4,4,4,4,4,4,4,4,77.6314926147461,77.43575286865234,77.09398651123047,76.86180114746094,70.96289825439453,78.47911834716797,82.09375,35,30.000001907348633,20,15.000000953674316,5,13.636363983154297,84.21052551269531,77.77777862548828,77.77777862548828,68.42105102539063,13.15570068359375,25769803776,2147483648,15036153856,534773760
203,1790356919001,4,4,4,4,4,4,4,4,4,4,77.6314926147461,77.43575286865234,77.09398651123047,76.86180114746094,70.96289825439453,78.47911834716797,82.09375,40,66.66667175292969,5,14.285715103149414,0,5,78.94737243652344,73.68421173095703,68.42105102539063,57.894737243652344,9.325447082519531,25769803776,2147483648,15049572352,534773760
204,1790356919205,4,4,4,4,4,4,4,4,4,4,77.6314926147461,77.43575286865234,77.09398651123047,76.86180114746094,70.96289825439453,78.47911834716797,82.09375,0,100,4.761904716491699,0,0,0,72.22222137451172,72.22222137451172,66.66667175292969,50,9.325447082519531,25769803776,2147483648,15040774144,534773760
202,1790356919410,4,4,4,4,4,4,4,4,4,4,79.53392791748047,78.29886627197266,78.0914535522461,78.38417053222656,72.02908325195313,80.4442367553711,82.5625,40,60.000003814697266,30.000001907348633,26.3157901763916,23.809524536132813,28.571430206298828,78.94737243652344,75,68.42105102539063,55,9.325447082519531,25769803776,2147483648,15056044032,534773760
204,1790356919613,4,4,4,4,4,4,4,4,4,4,79.53392791748047,78.29886627197266,78.0914535522461,78.38417053222656,72.02908325195313,80.4442367553711,82.5625,0,5,5,4.761904716491699,100,0,78.94737243652344,72.22222137451172,66.66667175292969,50,9.325447082519531,25769803776,2147483648,15075344384,534773760
204,1790356919818,4,4,4,4,4,4,4,4,4,4,79.53392791748047,78.29886627197266,78.0914535522461,78.38417053222656,72.02908325195313,80.4442367553711,82.5625,4.761904716491699,0,0,42.85714340209961,57.142860412597656,0,77.77777862548828,72.22222137451172,65,50,9.325447082519531,25769803776,2147483648,15024013312,534773760
204,1790356920023,4,4,4,4,4,4,4,4,4,4,79.53392791748047,78.29886627197266,78.0914535522461,78.38417053222656,72.02908325195313,80.4442367553711,82.5625,4.761904716491699,0,89.47368621826172,10.526315689086914,0,0,75,73.68421173095703,66.66667175292969,55,11.873746871948242,25769803776,2147483648,15027355648,534773760
204,1790356920228,4,4,4,4,4,4,4,4,4,4,79.53392791748047,78.29886627197266,78.0914535522461,78.38417053222656,72.02908325195313,80.4442367553711,82.5625,0,0,4.545454502105713,100,0,0,77.77777862548828,73.68421173095703,68.42105102539063,47.36842346191406,11.873746871948242,25769803776,2147483648,15038939136,534773760
200,1790356920432,4,4,4,4,4,4,4,4,4,4,80.18074798583984,78.88233947753906,78.64686584472656,78.8973388671875,72.4505844116211,81.09732818603516,81.390625,4.761904716491699,9.090909004211426,50,38.095237731933594,15.000000953674316,0,78.94737243652344,77.77777862548828,68.42105102539063,52.6315803527832,11.873746871948242,25769803776,2147483648,15053373440,534773760
203,1790356920632,4,4,4,4,4,4,4,4,4,4,80.18074798583984,78.88233947753906,78.64686584472656,78.8973388671875,72.4505844116211,81.09732818603516,81.390625,0,0,0,0,73.68421173095703,28.571430206298828,77.77777862548828,72.22222137451172,66.66667175292969,50,11.873746871948242,25769803776,2147483648,15061008384,534773760
204,1790356920837,4,4,4,4,4,4,4,4,4,4,80.18074798583984,78.88233947753906,78.64686584472656,78.8973388671875,72.4505844116211,81.09732818603516,81.390625,52.38095474243164,0,50,0,0,4.761904716491699,78.94737243652344,73.68421173095703,66.66667175292969,50,11.873746871948242,25769803776,2147483648,15087812608,534773760
