Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1790356099091,4,4,4,4,4,4,4,4,4,4,77.65100860595703,76.09117126464844,75.6419906616211,76.22098541259766,68.93093872070313,77.8660659790039,79.609375,0,0,0,0,0,0,0,100,0,50,14.473073959350586,25769803776,2147483648,13843087360,534773760
203,1790356099091,4,4,4,4,4,4,4,4,4,4,77.65100860595703,76.09117126464844,75.6419906616211,76.22098541259766,68.93093872070313,77.8660659790039,79.609375,NaN,NaN,100,0,0,0,100,NaN,NaN,NaN,14.473073959350586,25769803776,2147483648,13843464192,534773760
201,1790356099295,4,4,4,4,4,4,4,4,4,4,77.41929626464844,76.65673828125,76.32357025146484,76.26806640625,69.87919616699219,77.83271789550781,81.859375,21.052631378173828,10,0,0,0,0,89.47368621826172,89.47368621826172,89.47368621826172,85,14.473073959350586,25769803776,2147483648,13958250496,534773760
203,1790356099497,4,4,4,4,4,4,4,4,4,4,77.41929626464844,76.65673828125,76.32357025146484,76.26806640625,69.87919616699219,77.83271789550781,81.859375,5.882352828979492,5,0,0,0,4.761904716491699,94.44444274902344,84.21052551269531,84.21052551269531,94.73684692382813,14.473073959350586,25769803776,2147483648,13986676736,534773760
200,1790356099700,4,4,4,4,4,4,4,4,4,4,77.41929626464844,76.65673828125,76.32357025146484,76.26806640625,69.87919616699219,77.83271789550781,81.859375,11.764705657958984,0,0,0,0,0,89.47368621826172,88.8888931274414,94.73684692382813,84.21052551269531,14.473073959350586,25769803776,2147483648,13990871040,534773760
202,1790356099901,4,4,4,4,4,4,4,4,4,4,77.41929626464844,76.65673828125,76.32357025146484,76.26806640625,69.87919616699219,77.83271789550781,81.859375,11.764705657958984,5.263157844543457,0,0,0,0,89.47368621826172,89.47368621826172,84.21052551269531,95,11.846670150756836,25769803776,2147483648,13989986304,534773760
202,1790356100103,4,4,4,4,4,4,4,4,4,4,77.41929626464844,76.65673828125,76.32357025146484,76.26806640625,69.87919616699219,77.83271789550781,81.859375,5.882352828979492,5,0,0,4.761904716491699,0,94.73684692382813,83.33332824707031,83.33332824707031,94.44444274902344,11.846670150756836,25769803776,2147483648,13946929152,534773760
202,1790356100306,4,4,4,4,4,4,4,4,4,4,78.64449310302734,78.5322265625,78.41515350341797,78.25031280517578,72.41384887695313,79.91886901855469,83.96875,5.263157844543457,0,4.761904716491699,4.761904716491699,0,0,83.33332824707031,83.33332824707031,77.77777862548828,65,11.846670150756836,25769803776,2147483648,14285127680,534773760
204,1790356100509,4,4,4,4,4,4,4,4,4,4,78.64449310302734,78.5322265625,78.41515350341797,78.25031280517578,72.41384887695313,79.91886901855469,83.96875,60.000003814697266,47.619049072265625,50,42.105262756347656,45,45,80,75,68.42105102539063,55.55555725097656,11.846670150756836,25769803776,2147483648,14333706240,534773760
204,1790356100714,4,4,4,4,4,4,4,4,4,4,78.64449310302734,78.5322265625,78.41515350341797,78.25031280517578,72.41384887695313,79.91886901855469,83.96875,76.19047546386719,0,5,23.809524536132813,0,0,77.77777862548828,72.22222137451172,68.42105102539063,52.6315803527832,11.846670150756836,25769803776,2147483648,14333558784,534773760
